iter	Passed	Remaining
0	4	432
1	8	422
2	12	417
3	16	393
4	20	390
5	24	388
6	28	375
7	30	354
8	33	337
9	35	317
10	37	300
11	39	286
12	40	271
13	42	258
14	43	247
15	45	236
16	46	226
17	47	217
18	48	208
19	50	200
20	51	193
21	52	186
22	53	178
23	54	172
24	55	166
25	56	160
26	57	155
27	58	150
28	59	145
29	60	140
30	61	136
31	62	132
32	63	128
33	64	124
34	65	120
35	65	117
36	66	113
37	67	110
38	68	107
39	69	104
40	70	101
41	70	97
42	71	94
43	72	91
44	72	89
45	73	86
46	74	83
47	75	81
48	75	78
49	76	76
50	77	74
51	77	71
52	78	69
53	79	67
54	79	65
55	80	63
56	81	61
57	83	60
58	84	58
59	84	56
60	85	54
61	86	52
62	86	51
63	87	49
64	88	47
65	89	45
66	89	44
67	90	42
68	91	41
69	92	39
70	92	37
71	93	36
72	94	34
73	94	33
74	95	31
75	96	30
76	97	29
77	97	27
78	98	26
79	99	24
80	99	23
81	100	22
82	101	20
83	102	19
84	102	18
85	103	16
86	104	15
87	104	14
88	105	13
89	106	11
90	107	10
91	107	9
92	108	8
93	109	6
94	110	5
95	110	4
96	111	3
97	112	2
98	112	1
99	113	0
