iter	Passed	Remaining
0	162	162581
1	166	83200
2	169	56369
3	173	43094
4	175	34832
5	177	29323
6	178	25345
7	180	22342
8	181	20011
9	183	18140
10	184	16609
11	187	15434
12	188	14335
13	190	13389
14	191	12547
15	192	11818
16	193	11169
17	194	10594
18	195	10078
19	196	9615
20	197	9188
21	198	8802
22	198	8450
23	200	8134
24	201	7843
25	202	7570
26	202	7312
27	203	7074
28	205	6867
29	206	6663
30	206	6466
31	207	6281
32	208	6108
33	209	5944
34	209	5788
35	210	5644
36	211	5504
37	212	5372
38	212	5246
39	213	5127
40	215	5035
41	216	4936
42	217	4834
43	217	4735
44	218	4643
45	219	4554
46	220	4467
47	221	4384
48	221	4304
49	222	4229
50	223	4156
51	224	4085
52	224	4017
53	225	3952
54	226	3889
55	227	3828
56	227	3768
57	228	3718
58	229	3665
59	230	3612
60	231	3562
61	232	3512
62	232	3463
63	233	3418
64	234	3372
65	235	3328
66	235	3285
67	236	3244
68	237	3203
69	238	3164
70	238	3125
71	239	3088
72	240	3051
73	241	3016
74	241	2981
75	242	2948
76	243	2918
77	244	2889
78	245	2859
79	246	2829
80	246	2799
81	247	2770
82	247	2738
83	248	2711
84	249	2686
85	250	2659
86	251	2636
87	251	2611
88	252	2588
89	253	2564
90	254	2541
91	255	2518
92	255	2495
93	256	2473
94	259	2474
95	260	2457
96	261	2438
97	262	2417
98	263	2398
99	264	2379
100	265	2360
101	265	2341
102	266	2322
103	267	2304
104	268	2286
105	268	2268
106	269	2250
107	270	2233
108	271	2217
109	272	2202
110	274	2199
111	275	2184
112	276	2168
113	276	2152
114	277	2137
115	278	2123
116	279	2108
117	280	2094
118	280	2080
119	281	2065
120	282	2052
121	283	2038
122	283	2024
123	284	2011
124	285	1997
125	286	1985
126	287	1977
127	289	1969
128	289	1957
129	290	1945
130	291	1934
131	292	1924
132	293	1913
133	294	1902
134	295	1890
135	295	1879
136	296	1868
137	297	1858
138	298	1847
139	299	1837
140	299	1827
141	300	1815
142	302	1812
143	303	1805
144	304	1795
145	305	1786
146	306	1777
147	307	1768
148	308	1759
149	308	1750
150	309	1741
151	310	1732
152	311	1724
153	312	1714
154	312	1705
155	313	1696
156	314	1687
157	315	1679
158	317	1680
159	318	1674
160	319	1665
161	320	1657
162	321	1649
163	322	1641
164	323	1635
165	324	1628
166	324	1620
167	325	1612
168	326	1604
169	327	1597
170	327	1589
171	328	1582
172	329	1574
173	331	1572
174	332	1569
175	333	1562
176	334	1555
177	335	1548
178	336	1542
179	337	1537
180	338	1530
181	338	1523
182	339	1516
183	340	1509
184	341	1503
185	342	1496
186	342	1490
187	343	1483
188	344	1478
189	347	1480
190	348	1474
191	349	1469
192	349	1463
193	350	1457
194	351	1451
195	352	1447
196	353	1441
197	354	1435
198	355	1429
199	355	1423
200	356	1418
201	357	1412
202	358	1406
203	358	1400
204	361	1401
205	363	1399
206	364	1394
207	365	1390
208	366	1385
209	366	1380
210	367	1375
211	368	1369
212	369	1363
213	369	1358
214	370	1353
215	371	1348
216	372	1342
217	372	1337
218	373	1332
219	375	1332
220	377	1329
221	378	1325
222	379	1321
223	380	1319
224	382	1316
225	383	1312
226	383	1307
227	384	1301
228	385	1297
229	386	1293
230	387	1288
231	387	1283
232	388	1279
233	391	1281
234	392	1277
235	393	1273
236	394	1269
237	395	1264
238	395	1260
239	396	1255
240	397	1250
241	397	1246
242	398	1241
243	399	1237
244	400	1232
245	400	1228
246	401	1224
247	402	1219
248	402	1215
249	404	1213
250	406	1212
251	407	1208
252	408	1204
253	408	1200
254	409	1197
255	410	1192
256	411	1188
257	411	1184
258	412	1180
259	413	1176
260	414	1172
261	414	1168
262	415	1164
263	416	1160
264	417	1156
265	417	1152
266	420	1153
267	421	1150
268	422	1147
269	422	1143
270	423	1139
271	424	1135
272	425	1132
273	426	1128
274	426	1124
275	427	1121
276	428	1117
277	429	1114
278	429	1110
279	430	1107
280	431	1103
281	431	1099
282	432	1096
283	435	1097
284	436	1094
285	437	1091
286	438	1088
287	438	1085
288	439	1082
289	440	1078
290	441	1075
291	442	1072
292	443	1069
293	443	1065
294	444	1062
295	445	1059
296	446	1055
297	446	1052
298	447	1049
299	450	1050
300	451	1047
301	451	1044
302	452	1041
303	453	1038
304	454	1035
305	455	1032
306	456	1029
307	456	1026
308	457	1023
309	458	1020
310	459	1017
311	459	1014
312	460	1010
313	461	1007
314	462	1006
315	464	1005
316	465	1003
317	466	1000
318	467	997
319	468	994
320	468	992
321	469	989
322	470	985
323	471	983
324	472	980
325	472	977
326	473	974
327	474	971
328	475	968
329	475	965
330	476	962
331	479	964
332	480	962
333	481	959
334	482	957
335	483	954
336	483	951
337	484	949
338	485	946
339	485	943
340	486	940
341	487	938
342	488	935
343	488	932
344	489	929
345	490	926
346	491	924
347	493	924
348	494	922
349	495	920
350	496	917
351	496	914
352	497	912
353	498	909
354	499	907
355	500	904
356	500	902
357	501	899
358	502	896
359	503	894
360	503	891
361	504	889
362	505	886
363	506	884
364	510	887
365	511	885
366	512	883
367	513	881
368	514	878
369	514	876
370	515	873
371	516	871
372	517	869
373	517	866
374	518	864
375	519	861
376	520	859
377	520	856
378	523	857
379	524	855
380	525	853
381	526	851
382	526	848
383	527	846
384	528	844
385	529	841
386	529	839
387	530	836
388	531	834
389	532	832
390	532	829
391	533	827
392	534	825
393	535	822
394	535	820
395	538	820
396	539	819
397	540	817
398	541	814
399	541	812
400	542	810
401	543	808
402	544	806
403	544	803
404	545	801
405	546	799
406	547	797
407	547	794
408	548	792
409	549	790
410	550	788
411	550	786
412	553	786
413	554	784
414	554	782
415	555	779
416	556	777
417	557	775
418	557	773
419	558	771
420	559	769
421	559	766
422	560	764
423	561	762
424	562	760
425	562	758
426	563	756
427	564	754
428	564	751
429	565	749
430	568	750
431	569	749
432	570	747
433	571	745
434	572	743
435	573	741
436	574	739
437	574	737
438	575	735
439	576	733
440	577	731
441	577	729
442	578	727
443	579	725
444	579	723
445	580	721
446	583	721
447	583	719
448	584	717
449	585	715
450	586	713
451	587	711
452	587	709
453	588	707
454	589	705
455	590	703
456	590	701
457	591	699
458	592	698
459	592	696
460	593	694
461	594	692
462	595	690
463	595	688
464	597	687
465	598	686
466	599	684
467	600	682
468	600	680
469	601	678
470	602	676
471	603	674
472	603	672
473	604	671
474	605	669
475	606	667
476	606	665
477	607	663
478	608	661
479	608	659
480	609	657
481	610	656
482	613	656
483	614	655
484	615	653
485	616	651
486	617	649
487	617	648
488	618	646
489	619	644
490	620	642
491	620	641
492	621	639
493	622	637
494	622	635
495	623	633
496	624	631
497	625	630
498	627	629
499	628	628
500	629	626
501	629	624
502	630	623
503	631	621
504	632	619
505	632	617
506	633	616
507	634	614
508	635	612
509	635	610
510	636	609
511	637	607
512	638	605
513	638	603
514	639	602
515	640	600
516	642	600
517	643	598
518	644	597
519	645	595
520	645	593
521	646	592
522	647	590
523	647	588
524	648	586
525	649	585
526	650	583
527	650	581
528	651	580
529	652	578
530	652	576
531	653	575
532	654	573
533	655	571
534	657	571
535	658	570
536	659	568
537	660	567
538	661	565
539	661	563
540	662	562
541	663	560
542	664	559
543	665	557
544	665	556
545	666	554
546	667	552
547	668	551
548	668	549
549	669	547
550	670	546
551	671	545
552	672	543
553	673	542
554	674	540
555	674	538
556	675	537
557	676	535
558	676	534
559	677	532
560	678	530
